ΔS,lnr,△EA,Wt,RCE*
44.38321623177262,0.0,-0.1936,0.001,0.906
56.7527851056052,-0.0001,-0.2577,0.005,0.842
107.2,-0.0005,-0.5932,0.01,0.507
141.94746578727336,-0.0021,-0.6385,0.05,0.461
165.2733020469268,-0.0019,-0.7079,0.1,0.392
112.50905134417371,-0.004,-0.5838,0.001,0.516
-6.757388527934836,-0.0205,-0.637,0.005,0.463
160.6,-0.0168,-0.6964,0.01,0.404
-426.3959528278058,-0.0815,-0.7802,0.05,0.32
-725.0253402054946,-0.119,-0.7886,0.1,0.311
84.29433592118039,0.0,-0.3365,0.001,0.764
94.27063029815827,-0.0001,-0.3915,0.005,0.709
179.2,0.0004,-0.6451,0.01,0.455
122.24903404815723,0.0024,-0.7092,0.05,0.391
24.383816037295674,0.0057,-0.7708,0.1,0.329
66.08811895793087,-0.0008,-0.3718,0.001,0.728
-433.40467150632094,-0.0211,-0.485,0.005,0.615
-290.3,-0.0333,-0.6413,0.01,0.459
-768.126134162399,-0.1198,-0.717,0.05,0.383
-844.6212002682246,-0.132,-0.7624,0.1,0.338
-160.60513096965042,0.0,-0.0822,0.001,0.938
-182.73100417892238,0.0003,-0.0644,0.005,0.941
49.3,0.0005,-0.0822,0.01,0.953
-53.03678254168608,0.0026,-0.2052,0.05,0.852
153.5648896050734,0.0052,-0.2785,0.1,0.809
-150.3082761908713,0.0,0.0844,0.001,1.02
-142.17054055115705,-0.0002,0.0644,0.005,1.065
78.7,-0.0021,0.1304,0.01,1.024
285.46874423613144,0.0008,-0.2652,0.05,0.877
698.7324764305872,0.0024,-0.3207,0.1,0.866
-180.72699905345553,0.0,-0.0881,0.001,0.922
-122.50578666527599,-0.0002,-0.0852,0.005,0.957
66.4,-0.0003,-0.1652,0.01,0.919
-11.382074906108755,0.0,-0.3037,0.05,0.776
-54.45943289628303,0.0013,-0.3681,0.1,0.7
-46.30228204370769,0.0,-0.1222,0.001,0.951
-151.52336260125367,-0.0001,-0.1281,0.005,0.902
-17.9,-0.0005,-0.18,0.01,0.911
359.6991335121752,-0.0004,-0.3244,0.05,0.847
614.0910273261952,0.0009,-0.4304,0.1,0.754
48.381586364921986,-0.0005,-0.1319,0.001,0.987
171.66021808997903,-0.0005,-0.1711,0.005,0.982
-9.4,-0.0008,-0.1881,0.01,0.936
434.9489021192521,-0.0005,-0.3459,0.05,0.84
-205.28367812938518,0.0002,-0.443,0.1,0.851
-161.70364355336505,-0.0023,-0.0263,0.001,0.965
-90.57657687154187,-0.0114,-0.0072,0.005,0.978
-52.2,-0.0169,-0.0716,0.01,0.927
357.00102116921937,-0.0341,-0.1718,0.05,0.423
437.68287967592244,-0.0516,-0.2387,0.1,0.221
-161.06036237441185,-0.0004,-0.0549,0.001,0.962
46.62366290163209,-0.0071,0.0525,0.005,1.001
-106.0,-0.0181,-0.0453,0.01,0.934
396.4995422675032,-0.0684,-0.1575,0.05,0.205
369.68115051525297,-0.0815,-0.2267,0.1,0.104
-196.86234065683811,-0.001,-0.0621,0.001,0.912
-205.9757406478043,-0.0048,-0.0525,0.005,0.971
189.4,-0.0137,-0.0549,0.01,0.916
-300.8047913790647,-0.0363,-0.0955,0.05,0.902
-233.1189299612231,-0.0496,-0.179,0.1,0.751
-186.8860556543077,-0.0004,-0.0692,0.001,0.931
-166.2943503628435,-0.0021,-0.0215,0.005,0.979
-160.8,-0.0026,0.0215,0.01,1.021
233.2678012595793,0.0085,0.3317,0.05,1.332
-192.13703685907012,0.016,0.6014,0.1,1.601
-176.78453536790403,0.0,-0.0334,0.001,0.967
-179.93388141970627,-0.0002,-0.043,0.005,0.957
-427.1,-0.0001,-0.0453,0.01,0.955
-165.9549093880355,-0.0034,-0.0095,0.05,0.99
-265.15810106213485,0.0026,-0.1193,0.1,0.881
-142.72401731145192,-0.0005,0.0437,0.001,1.059
-360.47461379378274,-0.0045,0.0549,0.005,1.134
-351.4,-0.0031,0.1026,0.01,1.247
54.62390320904797,0.0041,1.1632,0.05,2.782
-4166.6672437022735,0.0139,1.627,0.1,5.09
